,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,0.005609,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,0.004318,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,0.019261,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,0.03701,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,0.185158,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,0.131848,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,0.516926,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,0.336939,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,0.80129,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,0.581713,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,3.564654,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,1.647215,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,0.264542,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,0.232961,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,0.818782,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,0.997053,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,8.590637,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,8.025613,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,6.65929,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,23.680018,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,13.771962,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,34.018353,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,28.107033,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,60.072375,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,0.005437,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,0.004072,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,0.0193,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,0.038919,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,0.127002,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,0.123332,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,0.306466,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,0.162848,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,1.9884,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,1.204245,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,2.509753,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,1.584262,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,2.660261,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,2.707984,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,4.166736,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,3.050416,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,2.528598,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,2.51727,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,1.915045,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,3.000113,"(16.0, 8.0)"
44,256.0,16.0,0.0,8.0,2.913505,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,19.330708,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,7.246495,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,28.288407,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,0.007874,"(4.0, 1.0)"
49,16.0,4.0,1.0,1.0,0.004395,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,0.020317,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,0.038175,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,0.136273,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,0.118215,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,0.01734,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,0.031222,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,1.161894,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,1.329078,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,3.638645,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,2.13425,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,0.017456,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,0.014681,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,1.54652,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,2.029516,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,1.562953,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,1.986596,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,5.516175,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,8.013281,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,5.376891,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,10.833999,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,18.859848,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,56.627707,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,0.005652,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,0.004147,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,0.02183,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,0.039076,"(4.0, 1.0)"
76,2048.0,4.0,0.0,1.0,0.150259,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,0.120134,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,0.018744,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,0.021395,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,1.519913,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,1.298537,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,1.878173,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,1.251959,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,0.028984,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,0.024234,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,1.886159,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,1.965612,"(16.0, 1.0)"
88,2048.0,16.0,0.0,1.0,3.334941,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,3.744356,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,2.838802,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,5.558124,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,21.817575,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,39.146552,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,21.862368,"(16.0, 8.0)"
95,2048.0,16.0,1.0,8.0,99.866097,"(16.0, 8.0)"
96,16.0,4.0,0.0,1.0,0.005742,"(4.0, 1.0)"
97,16.0,4.0,1.0,1.0,0.004354,"(4.0, 1.0)"
98,256.0,4.0,0.0,1.0,0.023103,"(4.0, 1.0)"
99,256.0,4.0,1.0,1.0,0.036673,"(4.0, 1.0)"
100,2048.0,4.0,0.0,1.0,0.135772,"(4.0, 1.0)"
101,2048.0,4.0,1.0,1.0,0.118274,"(4.0, 1.0)"
102,16.0,4.0,0.0,8.0,0.334369,"(4.0, 8.0)"
103,16.0,4.0,1.0,8.0,0.242224,"(4.0, 8.0)"
104,256.0,4.0,0.0,8.0,1.752925,"(4.0, 8.0)"
105,256.0,4.0,1.0,8.0,1.174395,"(4.0, 8.0)"
106,2048.0,4.0,0.0,8.0,3.445271,"(4.0, 8.0)"
107,2048.0,4.0,1.0,8.0,1.725378,"(4.0, 8.0)"
108,16.0,16.0,0.0,1.0,3.008934,"(16.0, 1.0)"
109,16.0,16.0,1.0,1.0,1.291835,"(16.0, 1.0)"
110,256.0,16.0,0.0,1.0,2.88096,"(16.0, 1.0)"
111,256.0,16.0,1.0,1.0,1.711486,"(16.0, 1.0)"
112,2048.0,16.0,0.0,1.0,1.464787,"(16.0, 1.0)"
113,2048.0,16.0,1.0,1.0,2.09097,"(16.0, 1.0)"
114,16.0,16.0,0.0,8.0,2.780739,"(16.0, 8.0)"
115,16.0,16.0,1.0,8.0,5.603833,"(16.0, 8.0)"
116,256.0,16.0,0.0,8.0,2.653308,"(16.0, 8.0)"
117,256.0,16.0,1.0,8.0,12.322289,"(16.0, 8.0)"
118,2048.0,16.0,0.0,8.0,15.379911,"(16.0, 8.0)"
119,2048.0,16.0,1.0,8.0,46.913689,"(16.0, 8.0)"
120,16.0,4.0,0.0,1.0,0.00572,"(4.0, 1.0)"
121,16.0,4.0,1.0,1.0,0.004448,"(4.0, 1.0)"
122,256.0,4.0,0.0,1.0,0.021897,"(4.0, 1.0)"
123,256.0,4.0,1.0,1.0,0.03738,"(4.0, 1.0)"
124,2048.0,4.0,0.0,1.0,0.124658,"(4.0, 1.0)"
125,2048.0,4.0,1.0,1.0,0.122734,"(4.0, 1.0)"
126,16.0,4.0,0.0,8.0,0.038623,"(4.0, 8.0)"
127,16.0,4.0,1.0,8.0,0.023594,"(4.0, 8.0)"
128,256.0,4.0,0.0,8.0,0.641945,"(4.0, 8.0)"
129,256.0,4.0,1.0,8.0,0.591539,"(4.0, 8.0)"
130,2048.0,4.0,0.0,8.0,2.398808,"(4.0, 8.0)"
131,2048.0,4.0,1.0,8.0,1.3777,"(4.0, 8.0)"
132,16.0,16.0,0.0,1.0,0.066311,"(16.0, 1.0)"
133,16.0,16.0,1.0,1.0,0.059124,"(16.0, 1.0)"
