,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,0.003046,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,0.002293,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,0.046549,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,0.052931,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,0.296414,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,0.334837,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,0.364111,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,0.388012,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,0.943032,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,0.614745,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,1.792521,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,2.775469,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,0.616035,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,0.621616,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,0.788801,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,0.689248,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,8.574594,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,12.33748,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,3.526762,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,2.735714,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,10.552315,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,7.67202,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,5.006371,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,6.305603,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,0.003753,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,0.001865,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,0.030086,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,0.031164,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,0.189171,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,0.190596,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,0.286168,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,0.21202,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,0.549151,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,0.531797,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,1.613841,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,2.72462,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,0.576474,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,0.779655,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,4.804364,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,5.530103,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,3.229406,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,4.595628,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,2.325272,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,1.887946,"(16.0, 8.0)"
44,256.0,16.0,0.0,8.0,2.835399,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,2.374958,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,5.532455,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,5.35001,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,0.00503,"(4.0, 1.0)"
