,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,0.002046,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,0.000893,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,0.010216,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,0.014868,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,0.09136,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,0.105345,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,0.19734,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,0.097193,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,0.261211,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,0.259634,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,1.004266,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,0.860398,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,0.077771,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,0.027274,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,0.093843,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,0.085091,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,2.256048,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,1.214702,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,2.36711,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,0.46052,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,3.098275,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,2.673494,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,1.848867,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,2.651688,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,0.002371,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,0.000692,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,0.00979,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,0.013867,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,0.08323,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,0.096869,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,0.125924,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,0.036331,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,0.200873,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,0.147119,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,0.862681,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,0.798145,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,0.024509,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,0.223073,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,2.421486,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,0.628096,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,0.87395,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,0.771424,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,1.320433,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,0.292017,"(16.0, 8.0)"
44,256.0,16.0,0.0,8.0,0.547211,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,0.7556,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,1.937281,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,3.198554,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,0.003923,"(4.0, 1.0)"
49,16.0,4.0,1.0,1.0,0.000617,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,0.011829,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,0.01256,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,0.087404,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,0.09481,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,0.009824,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,0.003462,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,0.246861,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,0.249991,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,0.625651,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,0.588552,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,0.004749,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,0.001967,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,0.040763,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,0.046669,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,0.917457,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,0.726423,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,1.21823,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,0.37641,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,0.653162,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,0.664504,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,2.535975,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,3.547884,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,0.001539,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,0.000627,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,0.012353,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,0.012869,"(4.0, 1.0)"
76,2048.0,4.0,0.0,1.0,0.088221,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,0.094108,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,0.010357,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,0.003433,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,0.040291,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,0.047968,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,0.348393,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,0.322585,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,0.011617,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,0.001677,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,0.032837,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,0.048506,"(16.0, 1.0)"
88,2048.0,16.0,0.0,1.0,0.747999,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,0.547537,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,3.922646,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,1.887137,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,5.8441,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,2.054772,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,2.422703,"(16.0, 8.0)"
95,2048.0,16.0,1.0,8.0,8.785438,"(16.0, 8.0)"
96,16.0,4.0,0.0,1.0,0.002773,"(4.0, 1.0)"
97,16.0,4.0,1.0,1.0,0.000406,"(4.0, 1.0)"
98,256.0,4.0,0.0,1.0,0.01082,"(4.0, 1.0)"
99,256.0,4.0,1.0,1.0,0.012087,"(4.0, 1.0)"
100,2048.0,4.0,0.0,1.0,0.084882,"(4.0, 1.0)"
101,2048.0,4.0,1.0,1.0,0.094284,"(4.0, 1.0)"
102,16.0,4.0,0.0,8.0,0.154256,"(4.0, 8.0)"
103,16.0,4.0,1.0,8.0,0.104016,"(4.0, 8.0)"
104,256.0,4.0,0.0,8.0,0.190449,"(4.0, 8.0)"
105,256.0,4.0,1.0,8.0,0.19173,"(4.0, 8.0)"
106,2048.0,4.0,0.0,8.0,0.885052,"(4.0, 8.0)"
107,2048.0,4.0,1.0,8.0,0.776578,"(4.0, 8.0)"
108,16.0,16.0,0.0,1.0,2.101333,"(16.0, 1.0)"
109,16.0,16.0,1.0,1.0,0.052611,"(16.0, 1.0)"
110,256.0,16.0,0.0,1.0,1.135427,"(16.0, 1.0)"
111,256.0,16.0,1.0,1.0,0.113667,"(16.0, 1.0)"
112,2048.0,16.0,0.0,1.0,0.419669,"(16.0, 1.0)"
113,2048.0,16.0,1.0,1.0,0.532401,"(16.0, 1.0)"
114,16.0,16.0,0.0,8.0,3.210428,"(16.0, 8.0)"
115,16.0,16.0,1.0,8.0,1.772031,"(16.0, 8.0)"
116,256.0,16.0,0.0,8.0,1.665989,"(16.0, 8.0)"
117,256.0,16.0,1.0,8.0,1.614362,"(16.0, 8.0)"
118,2048.0,16.0,0.0,8.0,2.310484,"(16.0, 8.0)"
119,2048.0,16.0,1.0,8.0,3.56622,"(16.0, 8.0)"
120,16.0,4.0,0.0,1.0,0.002067,"(4.0, 1.0)"
121,16.0,4.0,1.0,1.0,0.00082,"(4.0, 1.0)"
122,256.0,4.0,0.0,1.0,0.010463,"(4.0, 1.0)"
123,256.0,4.0,1.0,1.0,0.011942,"(4.0, 1.0)"
124,2048.0,4.0,0.0,1.0,0.08713,"(4.0, 1.0)"
125,2048.0,4.0,1.0,1.0,0.095791,"(4.0, 1.0)"
126,16.0,4.0,0.0,8.0,0.018754,"(4.0, 8.0)"
127,16.0,4.0,1.0,8.0,0.008896,"(4.0, 8.0)"
128,256.0,4.0,0.0,8.0,0.061406,"(4.0, 8.0)"
129,256.0,4.0,1.0,8.0,0.064247,"(4.0, 8.0)"
130,2048.0,4.0,0.0,8.0,0.409748,"(4.0, 8.0)"
131,2048.0,4.0,1.0,8.0,0.379604,"(4.0, 8.0)"
132,16.0,16.0,0.0,1.0,0.032033,"(16.0, 1.0)"
133,16.0,16.0,1.0,1.0,0.016327,"(16.0, 1.0)"
134,256.0,16.0,0.0,1.0,0.230618,"(16.0, 1.0)"
135,256.0,16.0,1.0,1.0,0.038152,"(16.0, 1.0)"
136,2048.0,16.0,0.0,1.0,0.619075,"(16.0, 1.0)"
137,2048.0,16.0,1.0,1.0,0.503574,"(16.0, 1.0)"
138,16.0,16.0,0.0,8.0,1.524122,"(16.0, 8.0)"
139,16.0,16.0,1.0,8.0,0.3051,"(16.0, 8.0)"
140,256.0,16.0,0.0,8.0,1.55326,"(16.0, 8.0)"
141,256.0,16.0,1.0,8.0,0.750491,"(16.0, 8.0)"
142,2048.0,16.0,0.0,8.0,3.474756,"(16.0, 8.0)"
143,2048.0,16.0,1.0,8.0,5.073799,"(16.0, 8.0)"
144,16.0,4.0,0.0,1.0,0.00261,"(4.0, 1.0)"
145,16.0,4.0,1.0,1.0,0.00021,"(4.0, 1.0)"
146,256.0,4.0,0.0,1.0,0.024524,"(4.0, 1.0)"
147,256.0,4.0,1.0,1.0,0.012852,"(4.0, 1.0)"
148,2048.0,4.0,0.0,1.0,0.081287,"(4.0, 1.0)"
149,2048.0,4.0,1.0,1.0,0.094788,"(4.0, 1.0)"
150,16.0,4.0,0.0,8.0,0.156625,"(4.0, 8.0)"
151,16.0,4.0,1.0,8.0,0.080032,"(4.0, 8.0)"
152,256.0,4.0,0.0,8.0,0.253353,"(4.0, 8.0)"
153,256.0,4.0,1.0,8.0,0.255276,"(4.0, 8.0)"
154,2048.0,4.0,0.0,8.0,1.33871,"(4.0, 8.0)"
155,2048.0,4.0,1.0,8.0,1.237985,"(4.0, 8.0)"
156,16.0,16.0,0.0,1.0,0.00613,"(16.0, 1.0)"
157,16.0,16.0,1.0,1.0,0.418638,"(16.0, 1.0)"
158,256.0,16.0,0.0,1.0,0.193031,"(16.0, 1.0)"
159,256.0,16.0,1.0,1.0,0.14858,"(16.0, 1.0)"
160,2048.0,16.0,0.0,1.0,2.708458,"(16.0, 1.0)"
161,2048.0,16.0,1.0,1.0,2.052472,"(16.0, 1.0)"
162,16.0,16.0,0.0,8.0,3.281066,"(16.0, 8.0)"
163,16.0,16.0,1.0,8.0,1.195337,"(16.0, 8.0)"
164,256.0,16.0,0.0,8.0,0.581727,"(16.0, 8.0)"
165,256.0,16.0,1.0,8.0,0.572084,"(16.0, 8.0)"
166,2048.0,16.0,0.0,8.0,2.044396,"(16.0, 8.0)"
167,2048.0,16.0,1.0,8.0,2.460976,"(16.0, 8.0)"
168,16.0,4.0,0.0,1.0,0.009356,"(4.0, 1.0)"
169,16.0,4.0,1.0,1.0,0.003743,"(4.0, 1.0)"
170,256.0,4.0,0.0,1.0,0.010744,"(4.0, 1.0)"
171,256.0,4.0,1.0,1.0,0.012173,"(4.0, 1.0)"
172,2048.0,4.0,0.0,1.0,0.081899,"(4.0, 1.0)"
173,2048.0,4.0,1.0,1.0,0.095853,"(4.0, 1.0)"
