,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,0.005097,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,0.008599,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,0.036793,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,0.067662,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,0.220711,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,0.374572,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,0.19814,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,0.287975,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,0.674081,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,0.831647,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,0.749579,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,0.961957,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,0.350173,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,0.435072,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,0.364351,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,0.508659,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,4.552143,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,3.755678,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,2.154707,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,1.008325,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,3.57248,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,2.989424,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,6.495357,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,6.688029,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,0.003474,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,0.00788,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,0.035846,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,0.053997,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,0.232117,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,0.371446,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,0.114524,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,0.250295,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,0.554885,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,0.669044,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,1.048334,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,1.533718,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,0.350109,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,0.578255,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,2.885514,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,2.150664,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,1.838466,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,2.931518,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,0.406575,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,0.697341,"(16.0, 8.0)"
44,256.0,16.0,0.0,8.0,2.582666,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,2.398747,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,8.572407,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,8.485733,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,0.006111,"(4.0, 1.0)"
49,16.0,4.0,1.0,1.0,0.008579,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,0.039707,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,0.056511,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,0.234862,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,0.351764,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,0.007349,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,0.009831,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,0.067208,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,0.067457,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,0.581952,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,0.774297,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,0.009825,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,0.014496,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,0.084583,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,0.114853,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,1.359,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,1.353779,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,1.015274,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,0.491941,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,1.932434,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,1.935658,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,6.922653,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,6.981735,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,0.003441,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,0.007176,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,0.039898,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,0.055188,"(4.0, 1.0)"
76,2048.0,4.0,0.0,1.0,0.23878,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,0.352498,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,0.010359,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,0.009368,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,0.058342,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,0.068725,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,0.439426,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,0.517414,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,0.053482,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,0.07772,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,0.381407,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,0.458242,"(16.0, 1.0)"
88,2048.0,16.0,0.0,1.0,1.460119,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,1.822984,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,2.10422,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,1.52427,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,5.522124,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,2.31422,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,15.808163,"(16.0, 8.0)"
