,n_nodes,ppn,time,"(n_nodes, ppn)"
0,1.0,1.0,0.271178,"(1.0, 1.0)"
1,1.0,2.0,0.210964,"(1.0, 2.0)"
2,1.0,4.0,0.177773,"(1.0, 4.0)"
3,1.0,8.0,0.163612,"(1.0, 8.0)"
4,2.0,1.0,0.348643,"(2.0, 1.0)"
5,2.0,2.0,0.275650,"(2.0, 2.0)"
6,2.0,4.0,0.180762,"(2.0, 4.0)"
7,2.0,8.0,0.115859,"(2.0, 8.0)"
8,1.0,1.0,0.289222,"(1.0, 1.0)"
9,1.0,2.0,0.209457,"(1.0, 2.0)"
10,1.0,4.0,0.175409,"(1.0, 4.0)"
11,1.0,8.0,0.165544,"(1.0, 8.0)"
12,2.0,1.0,0.347944,"(2.0, 1.0)"
13,2.0,2.0,0.263268,"(2.0, 2.0)"
14,2.0,4.0,0.180573,"(2.0, 4.0)"
15,2.0,8.0,0.116474,"(2.0, 8.0)"
16,1.0,1.0,0.272396,"(1.0, 1.0)"
17,1.0,2.0,0.219077,"(1.0, 2.0)"
18,1.0,4.0,0.176874,"(1.0, 4.0)"
19,1.0,8.0,0.168475,"(1.0, 8.0)"
20,2.0,1.0,0.327125,"(2.0, 1.0)"
21,2.0,2.0,0.276667,"(2.0, 2.0)"
22,2.0,4.0,0.183680,"(2.0, 4.0)"
23,2.0,8.0,0.111453,"(2.0, 8.0)"
24,1.0,1.0,0.273358,"(1.0, 1.0)"
25,1.0,2.0,0.213541,"(1.0, 2.0)"
26,1.0,4.0,0.176072,"(1.0, 4.0)"
27,1.0,8.0,0.142678,"(1.0, 8.0)"
28,2.0,1.0,0.350909,"(2.0, 1.0)"
29,2.0,2.0,0.279096,"(2.0, 2.0)"
30,2.0,4.0,0.183992,"(2.0, 4.0)"
31,2.0,8.0,0.114665,"(2.0, 8.0)"
32,1.0,1.0,0.274729,"(1.0, 1.0)"
33,1.0,2.0,0.212514,"(1.0, 2.0)"
34,1.0,4.0,0.185254,"(1.0, 4.0)"
35,1.0,8.0,0.144587,"(1.0, 8.0)"
36,2.0,1.0,0.330085,"(2.0, 1.0)"
37,2.0,2.0,0.263277,"(2.0, 2.0)"
38,2.0,4.0,0.181100,"(2.0, 4.0)"
39,2.0,8.0,0.099222,"(2.0, 8.0)"
40,1.0,1.0,0.274669,"(1.0, 1.0)"
41,1.0,2.0,0.212145,"(1.0, 2.0)"
42,1.0,4.0,0.184005,"(1.0, 4.0)"
43,1.0,8.0,0.131959,"(1.0, 8.0)"
44,2.0,1.0,0.330623,"(2.0, 1.0)"
45,2.0,2.0,0.274424,"(2.0, 2.0)"
46,2.0,4.0,0.182944,"(2.0, 4.0)"
47,2.0,8.0,0.118394,"(2.0, 8.0)"
48,1.0,1.0,0.274099,"(1.0, 1.0)"
49,1.0,2.0,0.208855,"(1.0, 2.0)"
50,1.0,4.0,0.180150,"(1.0, 4.0)"
51,1.0,8.0,0.142066,"(1.0, 8.0)"
52,2.0,1.0,0.336897,"(2.0, 1.0)"
53,2.0,2.0,0.264329,"(2.0, 2.0)"
54,2.0,4.0,0.182203,"(2.0, 4.0)"
55,2.0,8.0,0.117616,"(2.0, 8.0)"
56,1.0,1.0,0.279926,"(1.0, 1.0)"
57,1.0,2.0,0.211178,"(1.0, 2.0)"
58,1.0,4.0,0.179294,"(1.0, 4.0)"
59,1.0,8.0,0.183198,"(1.0, 8.0)"
60,2.0,1.0,0.362276,"(2.0, 1.0)"
61,2.0,2.0,0.269166,"(2.0, 2.0)"
62,2.0,4.0,0.181735,"(2.0, 4.0)"
63,2.0,8.0,0.114020,"(2.0, 8.0)"
64,1.0,1.0,0.276379,"(1.0, 1.0)"
65,1.0,2.0,0.213109,"(1.0, 2.0)"
66,1.0,4.0,0.180499,"(1.0, 4.0)"
67,1.0,8.0,0.158505,"(1.0, 8.0)"
68,2.0,1.0,0.342027,"(2.0, 1.0)"
69,2.0,2.0,0.278054,"(2.0, 2.0)"
70,2.0,4.0,0.231191,"(2.0, 4.0)"
71,2.0,8.0,0.109747,"(2.0, 8.0)"
72,1.0,1.0,0.275572,"(1.0, 1.0)"
73,1.0,2.0,0.211100,"(1.0, 2.0)"
74,1.0,4.0,0.181755,"(1.0, 4.0)"
75,1.0,8.0,0.168088,"(1.0, 8.0)"
76,2.0,1.0,0.330440,"(2.0, 1.0)"
77,2.0,2.0,0.278446,"(2.0, 2.0)"
78,2.0,4.0,0.178665,"(2.0, 4.0)"
79,2.0,8.0,0.114378,"(2.0, 8.0)"
